"trainNum" "trainDate"
300 2019-08-21 02:39:58
"trainNum" "trainDate"
299 2019-08-22 02:24:51
300 2019-08-23 01:54:35
299 2019-08-24 01:54:05
331 2019-08-25 01:51:04
300 2019-08-26 02:26:06
299 2019-08-27 02:12:39
300 2019-08-28 02:39:15
299 2019-08-29 02:24:26
300 2019-08-30 02:01:51
299 2019-08-31 02:04:34
336 2019-09-01 02:03:21
300 2019-09-02 02:45:42
299 2019-09-03 02:13:49
300 2019-09-04 02:40:03
299 2019-09-05 02:25:45
300 2019-09-06 01:55:10
299 2019-09-07 01:53:39
343 2019-09-08 02:04:20
300 2019-09-09 02:29:58
299 2019-09-10 02:17:05
300 2019-09-11 01:05:49
299 2019-09-12 02:23:18
300 2019-09-13 01:58:00
299 2019-09-14 01:51:47
343 2019-09-15 02:03:19
300 2019-09-16 02:29:28
299 2019-09-17 02:12:31
300 2019-09-18 02:36:20
299 2019-09-19 02:19:37
300 2019-09-20 01:56:48
299 2019-09-21 01:50:58
348 2019-09-22 02:08:33
300 2019-09-23 02:39:09
299 2019-09-24 02:21:46
300 2019-09-25 02:47:38
299 2019-09-26 02:29:55
300 2019-09-27 02:05:04
299 2019-09-28 01:56:55
365 2019-09-29 02:07:30
300 2019-09-30 02:39:24
299 2019-10-01 02:21:07
300 2019-10-02 02:46:50
299 2019-10-03 02:29:03
300 2019-10-04 02:03:53
299 2019-10-05 01:58:15
374 2019-10-06 02:09:42
300 2019-10-07 02:38:34
299 2019-10-08 02:20:54
300 2019-10-09 02:47:19
299 2019-10-10 02:28:48
300 2019-10-11 02:06:00
299 2019-10-12 01:57:10
379 2019-10-13 02:10:45
300 2019-10-14 02:39:49
299 2019-10-15 02:22:25
300 2019-10-16 02:47:23
299 2019-10-17 02:29:47
300 2019-10-18 02:05:58
299 2019-10-19 01:57:18
384 2019-10-20 02:10:35
300 2019-10-21 02:41:12
299 2019-10-22 02:22:00
300 2019-10-23 02:48:00
299 2019-10-24 02:34:11
300 2019-10-25 02:04:27
299 2019-10-26 01:56:04
385 2019-10-27 02:15:06
300 2019-10-28 02:39:31
299 2019-10-29 02:21:50
300 2019-10-30 02:47:48
299 2019-10-31 02:29:35
300 2019-11-01 02:06:33
299 2019-11-02 01:56:12
391 2019-11-03 02:16:02
300 2019-11-04 02:40:03
298 2019-11-05 02:24:45
300 2019-11-06 02:46:01
299 2019-11-07 02:26:52
300 2019-11-08 02:02:56
299 2019-11-09 01:53:56
391 2019-11-10 02:13:15
300 2019-11-11 02:37:30
299 2019-11-12 02:19:21
300 2019-11-13 02:45:41
299 2019-11-14 02:27:43
300 2019-11-15 02:03:00
299 2019-11-16 01:53:33
408 2019-11-17 02:13:25
300 2019-11-18 02:37:50
299 2019-11-19 02:20:08
300 2019-11-20 02:46:01
299 2019-11-21 02:28:03
300 2019-11-22 02:03:31
299 2019-11-23 01:54:32
408 2019-11-24 02:14:55
300 2019-11-25 02:39:13
299 2019-11-26 02:21:09
300 2019-11-27 02:47:59
299 2019-11-28 02:29:23
300 2019-11-29 02:04:16
299 2019-11-30 01:54:08
414 2019-12-01 02:22:21
300 2019-12-02 02:39:57
299 2019-12-03 02:22:23
300 2019-12-04 02:50:25
299 2019-12-05 02:31:15
300 2019-12-06 02:05:34
299 2019-12-07 01:53:45
424 2019-12-08 02:21:08
300 2019-12-09 02:38:51
299 2019-12-10 02:20:55
300 2019-12-11 02:47:03
299 2019-12-12 02:27:13
300 2019-12-13 02:03:51
299 2019-12-14 01:52:55
433 2019-12-15 02:20:54
300 2019-12-16 02:39:36
299 2019-12-17 02:41:57
299 2019-12-19 02:27:53
300 2019-12-20 02:11:53
299 2019-12-21 01:51:32
442 2019-12-22 02:18:43
300 2019-12-23 02:35:31
299 2019-12-24 02:22:14
300 2019-12-25 02:38:20
299 2019-12-26 01:00:07
300 2019-12-27 01:00:06
299 2019-12-28 01:00:07
451 2019-12-29 01:00:07
300 2019-12-30 01:00:07
299 2019-12-31 01:00:07
300 2020-01-01 01:00:06
299 2020-01-02 01:00:07
300 2020-01-03 01:00:08
299 2020-01-04 01:00:06
462 2020-01-05 01:00:12
300 2020-01-06 01:00:07
299 2020-01-07 01:00:07
299 2020-01-07 09:34:45
299 2020-01-07 09:35:54
300 2020-01-08 02:37:26
299 2020-01-09 02:31:40
300 2020-01-10 02:03:45
299 2020-01-11 01:48:25
464 2020-01-12 02:22:24
300 2020-01-13 02:35:08
299 2020-01-14 02:26:52
300 2020-01-15 02:43:32
299 2020-01-16 02:31:53
300 2020-01-17 02:13:57
299 2020-01-18 01:49:04
469 2020-01-19 02:27:39
300 2020-01-20 02:39:35
299 2020-01-21 02:35:07
300 2020-01-22 03:13:41
299 2020-01-23 02:31:52
300 2020-01-24 02:02:50
299 2020-01-25 01:46:45
471 2020-01-26 02:24:06
300 2020-01-27 02:36:38
299 2020-01-28 02:25:18
300 2020-01-29 02:40:52
299 2020-01-30 02:31:54
300 2020-01-31 02:03:31
299 2020-02-01 01:46:58
471 2020-02-02 02:23:40
300 2020-02-03 02:37:47
299 2020-02-04 02:25:42
300 2020-02-05 02:41:15
299 2020-02-06 02:33:38
300 2020-02-07 02:04:20
299 2020-02-08 01:47:28
471 2020-02-09 02:24:14
300 2020-02-10 02:37:46
299 2020-02-11 02:25:04
300 2020-02-12 02:41:04
299 2020-02-13 02:33:27
300 2020-02-14 02:04:19
299 2020-02-15 01:46:56
479 2020-02-16 02:27:35
300 2020-02-17 02:44:04
299 2020-02-18 02:25:36
300 2020-02-19 03:03:30
299 2020-02-20 02:38:31
300 2020-02-21 02:06:06
299 2020-02-22 01:47:01
479 2020-02-23 02:25:32
300 2020-02-24 02:38:15
299 2020-02-25 02:25:41
